Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,..,3.72274253182259,2.93112773676762,5.99435326233507,7.45295012246791,-2.63577011179972,-0.0553287701011413,7.8259630327085,3.38792917448438,6.53970029794451,5.15722973561972,1.64293038321543,-0.553301312631021,3.29552113606178,1.18533626048492,9.14991201393707,1.66310363724769,7.25476458521194,5.71253208944273,-5.2381827026969,6.73582152826147,6.00620362267659,3.47573324055963,7.28889290194073,3.8207378550585,5.25429922436548,4.77656417042216,3.96535563414577,9.62778291902082,5.94734332871707,5.53345456321573,1.05683143227975,5.48239602225368,4.75077621944588,6.6589240670105,7.57449184104719,7.54952224818398,4.04982084912471,6.18441582075693,8.84575556124574,3.84099115681246,4.82396626420316,3.80397532123557,7.86038147525927,7.92293661312628,9.28483150737219,9.26395889783758,8.60820459986418,3.89095706241433,8.47978389691141,10.259963064587,6.6383637999583,5.61856277332065,6.6388127357182
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,..,6.05816082548085,5.45303096987189,-0.455894289938712,10.9527885460417,1.60625822891576,2.56681200128052,-1.87586391964774,9.48945401547951,1.22085790909685,5.61985229280111,-5.47948302721956,-13.9737287020439,3.32568019878394,9.59195630041845,-4.08821409181658,5.66136120119664,2.67305605001984,7.0738377326069,4.80163460055662,0.81914186889891,7.23394369490723,2.13432783577075,3.88104639981715,4.80331001525438,3.34201465415414,4.173382559004,3.77240185252705,2.41625685566223,2.83658212907926,5.62225816160702,3.4852278153552,5.44268555072129,4.7115617244945,3.89012644065639,5.12127789716163,4.52291921762344,4.48989649735631,5.17702687345256,4.67015636827865,5.2932947184604,5.07728777597312,3.83312394005608,4.73956739916446,5.2395329104527,6.53594494052352,6.67186826509662,7.05863620607012,6.01378975923306,5.04512479417738,5.57180227396866,6.46438388047517,6.52143507837333,6.01359606747023
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Pakistan,PAK,..,5.98734641929046,4.48285862746644,8.68883151825305,7.56975744905721,10.419365822013,5.78995180143455,5.40061259720773,7.23322092500283,5.5078996342873,11.3534617181882,0.468372548504419,0.813406404583034,7.06426385694034,3.54019171279791,4.21141563147363,5.15618958985225,3.94769828741481,8.04853361937357,3.75843556853272,10.2157040372709,7.92076357199736,6.53748679998569,6.77837833870629,5.06520560475867,7.59211469875589,5.50165366386091,6.45234302467672,7.6252787795907,4.95976889440846,4.45858681509816,5.06156775497072,7.70589782310797,1.75774769734467,3.73741555244789,4.96260915003212,4.84658128374571,1.0143960141849,2.55023429463535,3.66013274390127,4.26008801156799,1.98248403238117,3.224429972602,4.84632093539447,7.36857135930246,7.66730427146116,6.17754203617736,4.83281727717085,1.7014054654513,2.83165851919991,1.60669195949077,2.74840254954,3.50703342009689,4.39645663349772
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mexico,MEX,..,5.0000000024335,4.66441466819325,8.10688692769652,11.905480768231,7.09999999585882,6.09613930404731,5.85492487760926,9.42327881833577,3.41862002555922,6.50248403332303,3.76246768583208,8.22880731164943,7.86111986077984,5.77682722978714,5.74448504962162,4.41744413504357,3.39063970677687,8.95694232825595,9.69817013786911,9.23325198388638,8.77260056065165,-0.627902609948805,-4.19629657398534,3.61018091197394,2.59338413968521,-3.7539198810599,1.85574699189119,1.24543805816761,4.19829325842322,5.06830631319022,4.22225071573448,3.62865871312177,4.06142585419791,4.72735482911108,-5.75868237989781,5.87476668289335,6.96288880136974,4.70184241601579,2.66701314742662,5.29647383846377,-0.605492390087392,0.131917168641934,1.42267124240306,4.2957142512237,3.03257365857694,4.94451434826912,3.20412301672219,1.40029037023363,-4.70033886285106,5.11019848994358,4.04461387888595,4.01817386885878,1.36007714397567
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.80585566826355,2.78929157511523,3.58346963264538,5.13501167101565,7.36451289315325,5.10091814039046,5.96084393175285,8.64604745955859,8.07273065711567,8.83898095240126,9.54048017490108,9.34001749599132,8.15208414329487,5.7644554639503,4.77358688057245,6.78731640822197,6.1928933118123,6.32082098771049,6.89906349174233,7.53641061182057,7.5472477272281,6.97795481183347,7.12950448396323,5.66177120802432,5.39789754276676,6.42323821717494,6.24030274887527,5.2473671560487,5.42188299130713
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Peru,PER,..,7.34709633145569,10.0352933342212,4.32824981844591,6.54786765047102,5.62173344947736,8.23892044575942,3.85256440782894,0.152237710931757,3.51445891251396,3.36594600332614,4.59053992759885,3.47753512310473,6.27693475562022,9.38683491938303,4.30086316548426,1.44711099517411,0.349063699303812,-2.64250297882154,4.09075057410003,5.94333539830841,5.55204181484046,-0.2227234441863,-10.408085798297,3.60828653816966,2.06113206625895,9.42596236073652,9.72614643050372,-9.44127344629393,-12.3120414471296,-4.98256353646605,2.2192591027909,-0.540509124723926,5.24357700773291,12.3083661848445,7.41139504735119,2.79897307912609,6.47682442079709,-0.391537555833821,1.49491064308833,2.69437139806912,0.617892325624297,5.45352893818767,4.16502313666112,4.95820320611745,6.28506032509601,7.5288990440594,8.5183877690955,9.1265683014642,1.0958236592427,8.33245910749577,6.32719240161117,6.13972470560435,5.85251821084928
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,..,5.2653723815326,5.46650028234528,2.90411467784939,6.60234159506996,3.01248719731231,5.32236812941078,4.19063544679736,6.42744433641802,6.52093506685732,6.95651509879755,5.95122309899503,7.6734146820758,6.72748176038837,5.74252210854849,2.24804705944727,4.81718726877891,4.14801343895326,8.46344999951035,5.38285337290468,4.09819916132513,2.26321677428838,0.948480319271752,1.58437630412807,3.35510101629157,3.08826465180508,5.83829240966305,5.37150680632328,4.05982100227979,3.41742665551664,6.04203847765552,2.27723149659272,5.0326774965981,2.36565057431291,5.83581149444534,5.20243759255641,2.05585471214225,3.43029367829288,0.569784089852092,-4.2040152437058,4.41999299958138,1.67789830770366,2.5039804654986,3.9182719036083,5.33302206745392,4.70655593383118,6.69751525770528,6.90062765541222,3.54680488578107,1.65154924529054,3.97180070473753,6.58951151557115,4.0439438063715,4.87406557934081
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Philippines,PHL,..,5.61657931895161,4.77312184751131,7.06048742267159,3.44698214533538,5.26581046402204,4.42599417355294,5.32415018795579,4.94541808045092,4.65635857843871,3.7646048586699,5.42863136891378,5.44679110377977,8.92064682244886,3.55811508024166,5.56477362422095,8.80663056740261,5.6020555772796,5.172103286891,5.63967574582138,5.14891129434373,3.42326917720787,3.61932760604179,1.87461646827209,-7.32368258432169,-7.30660883593995,3.41678280553242,4.31163482025792,6.75254448138335,6.20531111660902,3.03696629398218,-0.578334651228232,0.337603030199674,2.11630717914124,4.38762334121967,4.67869221922228,5.84587347220781,5.18536227553209,-0.576722189734539,3.08192676387115,4.41121250619855,2.89399241087914,3.6458981411065,4.97036373135542,6.69763642511982,4.77766346150517,5.24295304082236,6.61666850460657,4.15275714549762,1.14833040819052,7.63226391622599,3.65975513887875,6.68381023689122,7.06403293901505
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nepal,NPL,..,1.90826596927236,1.91032003367357,1.89511164336658,7.53244855331717,-1.20318901706183,7.04064314274792,-1.5714974981418,0.675483463917942,4.46342160070982,2.57599212629248,-1.19538330011993,3.11780036344416,-0.476536268362054,6.33359037348711,1.45647070823327,4.39853617983157,3.01697344064642,4.40574138961394,2.36887779436333,-2.31939420324042,8.34197413444542,3.77937465429025,-2.97740585754977,9.68113001523064,6.14490523816743,4.56565054522216,1.69561826463837,7.69680871148999,4.3296479338953,4.63503634705982,6.36815040328669,4.10640661228756,3.84985002161713,8.21600270932667,3.46845188342333,5.32828417450956,5.04861253590236,3.01638948168549,4.41257327097169,6.19999998759771,4.79976264388786,0.120266897385847,3.94503776730633,4.68260324535134,3.47918104631147,3.36461478807166,3.41156027569262,6.1046391423169,4.53307872039284,4.81641465022444,3.42182824087472,4.78119225754814,4.12887767631092
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,..,10.2759115543009,5.21605942017887,0.87467259240843,3.48558230427724,3.0534878936691,4.15036023303344,4.91526567501121,11.4272823832673,9.7358268899127,8.76994747172606,11.2950868433502,12.0528022500388,13.9786916510758,9.04212031316958,5.20907590114406,9.79041016147607,4.60631806113791,3.23170956333544,6.76628496532688,9.11096015517154,-4.39335720034832,0.580245553394249,-3.40979347371646,5.26914314976874,7.94586174871279,7.98829510486235,3.59962946680903,-0.102672718383658,3.27945885796417,-3.10235594875039,1.51193723789989,-0.466913209800552,4.66516898877852,5.33455170247368,4.41673135388506,2.20753552794351,3.39502863721179,0.338356179270249,0.469066587492819,4.11256490969872,1.65781796741371,3.05316092095462,1.14031904269835,5.76088072785559,3.20205152513094,3.9605020306966,6.07228368974322,5.0937670118105,-0.126147414522805,7.5287973813094,3.91025534813343,1.91545862251942,3.01514051081094
