Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.0460678750472635,0.053614942588308,0.0737813379864149,0.0742513682185121,0.0863165425400968,0.101498607297291,0.10767396986513,0.123782381420828,0.115547383485899,0.0868628168461064,0.150358548261921,0.166114845751107,0.130820142126379,0.136339953523864,0.155725122534084,0.169027082193895,0.154895026334307,0.183118307595321,0.163346970897513,0.168673487924179,0.133230270920323,0.152639744037877,0.165879121664236,0.20546269900184,0.237642948463422,0.301734199171867,0.274729697632186,0.275560305000947,0.252079156325973,0.239131208213811,0.216660935051547,0.190670395595594,0.101374764197785,0.090782199123322,0.0815660801311055,0.0741160452792967,0.0673332837579654,0.0607976653157097,0.0562584947286765,0.0431447567602774,0.0392721224407343,0.0310775426230179,0.0411292293382456,0.0456188391285911,0.0404152792464633,0.0544039684018999,0.0655247469435981,0.0878576421317263,0.158961557957085,0.249073529591755,0.30293638839023,0.425262104940417,0.688083612623934,0.693183410739021,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.25819492789657,1.37418604651163,1.43995596379167,1.18168114415975,1.11174195966673,1.16609904273455,1.33305546458662,1.36374630010816,1.51955127697956,1.5589675720987,1.75323990542637,1.98949792330655,2.51591439803203,2.30389741687392,1.84900669071079,1.91063363704144,2.01358456245734,2.27587639136105,2.53062504042839,2.89820851758249,1.93505831031996,2.69302391440235,2.62485678513424,2.6832399189862,2.69429137362284,2.65801538201043,2.66535622064854,2.41406081518223,2.33159853051997,2.78324307461439,1.61562395977292,1.31221260013653,0.774724910911141,0.723790291969695,0.600203707768206,0.654537133005248,0.636625312930768,0.490365059535664,0.560271437384331,0.960164411868586,0.978174680894664,1.05330417594038,1.22954070946998,1.4126971959616,1.37621273504355,1.41249821101668,1.30257636722163,1.32233485532238,1.48431113888781,1.49560019934969,1.57857358391855,1.80397241787674,1.62472196333623,1.66218482579198,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,0.553763578109343,0.531809994319088,0.484953660140604,0.45282445830792,0.459568917400843,0.5224485273684,0.649480607836402,0.632118426888565,0.65926255110906,0.797205643462515,1.03608266730392,1.24789829433752,1.84362371436217,2.42418238736638,1.96382994320283,1.91699426264661,2.27867110143223,2.36808209569782,3.43337072009069,2.43173222024416,3.43987655630397,2.32850297791274,1.9085572345749,2.47900899968947,3.24762923225451,3.22549764006837,3.28197414806313,3.51707376850858,3.41372648663503,3.16921314716626,3.00791101112967,3.01998894566024,2.9759975020714,2.96173908155182,3.04988425540287,3.29866722252398,3.30246252197967,2.95087834912248,3.52969939558715,2.99411874278661,2.81977800680087,2.66832779788239,2.84002791213498,2.85641005188288,2.72701713810354,3.22015455926011,2.99754697337974,3.19586459284552,3.16852449102453,3.43012895675614,3.30716434012848,3.30055778866389,3.47194993128501,3.51478008968438,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.37449494158549,6.61635376646809,7.14569660311472,7.57644628099174,8.00143389286327,8.018180706127,7.73765678028626,7.48409481181207,7.15914044635813,7.2088285229202,7.08812774706672,6.5534765451645,6.35086830509673,6.29612455615773,6.04917284788357,6.12477049005556,5.96868546996089,6.19519390791265,6.47384785644647,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.10435710106389,0.0847184061519349,0.21602534255535,0.206877060796923,0.21617413273309,0.206088958851002,0.265164145789731,0.166658588848149,0.275655471214261,0.451125604452011,0.568588577407697,0.529744961084372,0.684120293634434,0.72305504343195,0.703873436197644,0.62119889117354,0.450116911989137,0.471248793545669,0.701359921079561,0.692097154214032,0.651061684496374,0.621382804088045,0.527930762731946,0.560374447276187,0.53035103110477,0.48240053137906,0.464973712301845,0.565431153429145,0.486503528149711,0.462907836915506,0.459698486772401,0.443664508894697,0.438530822634303,0.471595159742319,0.307601077536334,0.841494445997467,0.779026419213437,0.534831299647265,0.515117027342679,0.627072295591633,0.633625298649187,0.625351712298906,0.786223278204629,0.543083666763623,1.0866048972276,1.06941718451386,1.20087714742312,1.31109648310951,1.29568651258368,1.35438857202617,1.36933887792594,1.3827521969442,1.4722550379024,1.3844963891048,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,0.67061685045994,0.860440770355396,1.82337376356307,1.47017501045879,1.56709401709402,2.52035941193234,5.72799171297971,9.10806103028935,15.6719323793846,19.5590060180074,7.06821276140066,6.41219210708794,5.5655680380924,4.85538162772906,6.24920253441119,10.2194995162664,5.78043048350577,6.63185850789627,6.96910988823963,5.76923731095772,2.03429538697885,1.52463082437276,4.25467730239304,1.24107537008152,2.19373943735698,3.79283280603553,3.85970126151227,4.33219393863021,4.57363522978029,4.61577936643697,4.85726747003521,4.6416234057553,4.56684112620992,4.69200530307702,4.68362133734035,4.72129804386311,4.59386433198092,4.67056152397829,4.49690052017357,4.58127852079799,4.43923861528951,4.36481284505901,4.53621142071723,4.80448432710373,4.98099561908025,4.97431114879186,5.0962895515593,5.56152469874522,5.6283186877563,5.90629200463499,6.01126867125973,5.8238043379617,5.88735699289315,5.82742679335445,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,2.36747303164667,2.44261566522037,2.52239210450438,2.31635579664918,2.53837965018193,2.64171446273276,2.79265392283792,2.85816254619432,2.96985521815595,3.27585030105915,3.45115922196339,3.65007816898339,3.63785836633653,3.73079111779821,3.72669911156406,3.64182249762391,3.76877393124555,3.74987111478078,3.7627502305726,3.99873369712254,3.86885292971875,3.57496761243926,3.56708654335214,3.57204197260074,3.56014217750819,3.31032728821864,3.37724521848064,3.66916872512268,3.82044580815879,3.62920212863063,3.44071080308001,3.52538368472299,3.60858224101162,3.47716047580317,3.56936567776818,3.65664516386398,3.81145717763764,3.85120312530305,3.8578721930927,4.01070029530081,3.83557356194987,3.56859738999216,3.29154139320549,3.52557543531985,4.06904976449296,4.14123649643327,4.43483714728094,4.38270408111824,4.68297374117983,4.41097270862527,4.55861174166042,4.60043017969054,4.56963523938012,4.46229797972199,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.59989557897862,0.758500602283961,0.822581424662981,1.05805986833471,0.807718159401908,1.03080073889647,1.08020699283447,0.974288743365807,1.12652945387306,1.1576079497104,0.998805808123983,1.12917350037215,1.2045669802398,1.44373095511419,1.45963690821378,1.69475525891389,1.8686110286656,1.46996097242582,1.42299837759187,1.65683069720052,1.91208959087599,1.83705891867902,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.86831939212055,7.23496401714239,10.0265075232903,10.6347325992922,27.8500353993692,27.407594819182,22.8398182750788,22.1037683798174,20.7971968709257,20.0409954435675,19.4380311316786,19.3119711634112,19.6215339841423,19.6525886477012,25.5476787954831,25.3824897194652,24.9755145007632,24.9090656084111,24.5105426262381,24.9645309953914,24.7667063373996,25.613714951886,24.7501332122911,24.8767058452315,24.182702245145,23.9224121017109,12.7136132352798,8.51539530319371,..,..,..
